period,홍대,연남,이태원,익선,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
2020-09-08,4523.804704281349,3684.9928587439535,1927.433172598219,3436.4347528325175,2627.4791040132113,4219.304757136523,2053.2110306785466,2195.774113248655,4308.092769129652,1480.8754058030274,1602.6866635453994,909.3163992957317,1840.6551101879734,1909.1072689246193,2062.499710147951,5067.75008827225
2020-09-09,4556.004612890743,3545.6163125743187,2027.6487802817564,3613.8528017558706,2513.6794923014036,3684.7592137504894,2095.420046729117,2303.3522832040576,4081.830781747387,1365.65083377831,1231.1215956578426,800.9208835638674,1755.113233803452,1945.3763744506612,2186.83092841093,5219.027803201368
2020-09-10,4941.3764058810175,3719.0855973389125,2118.7422215192328,3931.387762441452,2753.36470912238,4236.322256021876,2150.6955968009593,2542.6352741856626,4393.570669615761,1561.0300691460786,1500.4297586645478,920.3565031520809,1786.3110437162286,2255.6694766056585,2234.960242257038,5564.9444471947845
2020-09-11,5710.102453728145,4052.9912990209627,2451.792884816998,4807.382724873084,3198.4952429505192,4710.806611897643,2471.2900893471888,2634.1260474057,5043.2055352943635,1739.3758314971087,1732.2778816878213,1032.7668061942763,4348.537204501121,2472.272498632168,2432.4840984439506,6252.747345797689
2020-09-12,6556.301965898629,5429.7259375842605,2951.8817726561965,5464.628001180401,3033.3334142682793,5252.359131402431,2789.8746805390556,2787.950298270988,5601.328157671644,2285.4372616790447,2098.7807141275516,826.0127430063753,2419.3202323098717,2743.2747996787803,2627.0062681542813,6508.909352685175
2020-09-13,6801.810678977873,5828.808933639027,3651.376090077371,5595.676287852997,2859.108570069088,7119.265103782639,3112.479074439647,2561.737206128805,5023.094194781619,2920.6715730364954,2915.8162222927876,830.027156151999,2133.5101169893674,3037.4478127923194,2556.819106715107,5504.438383515205
2020-09-14,6451.6614335459735,4749.881802951351,2756.5062158013966,4661.212458334045,3244.821136161694,4829.92910409511,2470.2851386700077,2828.1658274212355,5044.21204298139,1920.728370292398,1847.6958452372962,936.4152782286978,2152.6314676862007,2652.606415132636,2697.193429593455,7109.983545152638
2020-09-15,6673.018381042594,5091.809325479275,3050.0824439761464,5192.455177735617,3923.5956655494124,5300.408081410644,2779.824086158285,2970.931844711063,5565.126804087314,2068.013963054211,1939.828279222495,1097.0007840066214,2438.4415830067046,2922.601484318467,2879.6785333320367,7969.228661334465
2020-09-16,6753.514484314932,5231.18587164891,3105.749640421087,5228.744887528255,3662.761439814123,5185.290967773411,2774.799332772379,3060.410952667139,5742.116947874746,1987.85929971116,1980.3249069788974,1169.264710604336,2459.5745158198365,2809.7652402972167,2891.7118092956084,7909.727056068325
2020-09-17,7227.430523604315,5533.004289947467,3359.833115869514,5553.337025642078,3957.836748988082,5938.060450021182,2922.53360797177,3029.244954516555,5862.789694258157,2489.834714879277,2077.5195764119226,1219.447681159937,2494.798973224286,3388.038947916483,2928.8084093370053,8624.763333405617
