,period,홍대,연남,이태원,종로,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
1542,2020-03-22,331066.6334806063,276028.6080746089,242724.52575092544,206784.2353895893,102995.92882614896,257868.22356911068,115254.89015984813,88718.66996860324,181561.52553819172,89999.21920876286,94574.6274795791,32452.596922168435,81222.72439227218,128099.8097161158,132464.35058513592,281583.9993199691
1543,2020-03-23,285819.9483249092,193911.7706241431,162443.3311333486,164258.85688580212,106471.4244913168,168271.21501227704,83338.12682839477,78847.60789822698,154707.0167857379,60678.358266310395,64377.09909013481,32331.9509508772,71782.43244638728,95158.96731906646,115278.01137130412,288035.8790143298
1544,2020-03-24,282272.4738768517,211581.02196017737,172000.2455779242,178112.71700092658,119073.91908479993,197598.25517091018,88837.90486479292,89775.17818907995,158775.92446440365,61277.331839495535,56684.41870087292,37067.13104516208,74708.02413268317,104467.64912608161,112448.66269388172,313237.938935105
1545,2020-03-25,304640.2176654501,211940.39813755537,164961.63127474795,178745.1385412247,124151.17542756384,191672.98259950549,89649.37418477004,96204.96072612608,179511.91813657037,60288.99388559605,54512.39902379158,38967.243252100416,79382.91608257445,106599.58069663448,125060.07854865165,329231.5937720389
1546,2020-03-26,312577.15193850314,206310.17135863326,166721.50105076018,179377.67368338027,123002.75262618814,184311.28737660835,92895.12136939683,94544.67633772099,171977.0031132646,57713.28128832396,52521.34044858577,38454.51473981229,80106.77166697323,93207.16588794682,128822.4558361324,333956.85037374793
1547,2020-03-27,353314.0310125166,255753.9568376352,256984.22734142467,201513.7908161042,138838.99583590424,221418.96965349122,101941.19921510747,104777.95963178849,200579.59861864184,74425.33825935729,69626.24331033668,42043.603082029425,90572.56048815977,118520.80217086425,139086.11185708156,379090.40467136493
1548,2020-03-28,384520.7579744805,308072.75173566124,276978.42351901834,225637.59964823467,145789.98716623988,305120.6553891582,125773.5815474395,100370.7271839045,211218.9499422163,98355.24769427953,97621.5169998883,32995.48130537949,87888.27139536513,135366.49449320813,152931.47824284688,350677.39524258877
1549,2020-03-29,305061.1007489495,261054.75545396085,223761.17221362985,192930.37527446484,111458.03457065405,271215.032595892,104044.93749262573,86484.85381699838,165195.67826664847,94881.07473722973,88058.49360916969,31577.94173980635,75612.84361318164,111824.52950197711,123254.09194261991,251808.09465108308
1550,2020-03-30,278364.1798686693,194690.41900846214,160865.06954061033,149471.3031044821,113664.23390997876,189787.66330242253,82406.48199189198,78304.23158562432,146509.01006936285,60798.15298094743,55326.91108014492,32784.35647751971,74466.7215391819,97170.81212999718,112358.44300265184,272860.1875907324
1551,2020-03-31,289096.9177078426,199092.77718134274,170332.0446944217,157753.56012208152,118378.83415964464,201189.31179964135,85321.65706556695,84824.56942859327,160795.22474144807,61876.30541268067,60515.69751347225,35649.59147958893,78960.7017890785,95128.94562916092,115097.34444863947,278494.2924294821
